size     iter       time                    comment
20 		 5 		 0.655 	 one loop check 

20 		 5 		 0.663 	 one loop check 

20 		 5 		 0.654 	 one loop check 

20 		 5 		 0.631 	 one loop check 

20 		 5 		 0.644 	 one loop check 

20 		 5 		 0.647 	 one loop check 

20 		 5 		 0.652 	 one loop check 

20 		 5 		 0.642 	 one loop check 

20 		 5 		 0.644 	 one loop check 

20 		 5 		 0.641 	 one loop check 

20 		 5 		 0.631 	 one loop check 

20 		 5 		 0.651 	 one loop check 

20 		 5 		 0.648 	 one loop check 

20 		 5 		 0.675 	 one loop check 

20 		 5 		 0.638 	 one loop check 

40 		 1000 		 10.225 	 one loop check 

40 		 1000 		 10.129 	 redefined with binding list 

40 		 1000 		 10.140 	 redefined with binding list 

40 		 1 		 3.208 	 redefined with binding list 

40 		 100 		 4.101 	 redefined with binding list 

40 		 10000 		 56.527 	 redefined with binding list 

40 		 10 		 6.236 	 redefined with binding list 

40 		 10000 		 59.246 	 redefined with binding list 

40 		 10000 		 72.153 	 redefined with binding list 

40 		 0 		 6.154 	 redefined with binding list 

40 		 100 		 7.004 	 redefined with binding list 

40 		 300 		 8.250 	 redefined with binding list 

40 		 500 		 9.673 	 redefined with binding list 

40 		 1000 		 13.001 	 redefined with binding list 

40 		 2000 		 19.519 	 redefined with binding list 

40 		 5000 		 39.563 	 redefined with binding list 

40 		 10000 		 71.029 	 redefined with binding list 

40 		 20000 		 134.197 	 redefined with binding list 

40 		 50000 		 319.221 	 redefined with binding list 

20 		 0 		 0 	 redefined with binding list 

20 		 0 		 0 	 redefined with binding list 

20 		 0 		 0 	 redefined with binding list 

20 		 0 		 init: 0.596 run: 0 	 redefined with binding list 

20 		 0 		 init: 0.376 run: 0 	 redefined with binding list 

20 		 0 		 init: 0.369 run: 0 	 redefined with binding list 

20 		 0 		 init: 0.370 run: 0 	 redefined with binding list 

20 		 0 		 init: 0.381 run: 0 	 redefined with binding list 

20 		 0 		 init: 0.378 run: 0 	 redefined with binding list 

20 		 0 		 init: 0.456 run: 0 	 redefined with binding list 

20 		 0 		 init: 0.401 run: 0 	 redefined with binding list 

20 		 0 		 init: 0.402 run: 0 	 redefined with binding list 

20 		 0 		 init: 0.385 run: 0 	 redefined with binding list 

20 		 0 		 init: 0.391 run: 0 	 redefined with binding list 

20 		 1000 		 init: 0.909 run: 0 	 redefined with binding list 

40 		 1000 		 init: 3.541 run: 0 	 redefined with binding list 

40 		 1000 		 init: 3.539 run: 0 	 redefined with binding list 

40 		 1000 		 init: 3.507 run: 0 	 redefined with binding list 

40 		 1000 		 init: 3.549 run: 0 	 redefined with binding list 

40 		 1 		 init: 2.966 run: 0 	 blist and real nn 

40 		 1000 		 init: 3.481 run: 0 	 blist and real nn 

